"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH4674",4674,"M",5,NA,NA,NA,NA,"UK","Y",NA,2,"UK","",NA,1,1,1,20060512,3,12,5,2006,5,0,3,34,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,3
"Mo08HH4675",4675,"F",5,NA,NA,NA,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060512,3,12,5,2006,5,0,3,34,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,1
"Mo08HH4676",4676,"M",5,NA,NA,NA,6,"UK","",NA,NA,"","",NA,1,1,1,20060420,2,20,4,2006,4,9,39,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",3,9
"Mo08HH4677",4677,"F",5,NA,NA,NA,12,"UK","",NA,NA,"","",NA,1,1,1,20060420,2,20,4,2006,4,16,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",2,15
"Mo08HH4678",4678,"M",5,NA,NA,NA,12,"UK","",NA,NA,"","",NA,1,1,1,20060420,2,20,4,2006,4,8,12,15,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,15
"Mo08HH4679",4679,"F",5,NA,NA,NA,13,"UK","",NA,NA,"","",NA,4,3,4,20060420,2,20,4,2006,4,5,7,16,33,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,16
"Mo08HH468",468,"M",4,NA,2,8,NA,"IT","",NA,NA,"","N",2,NA,NA,NA,20060522,1,22,5,2006,1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",2,54
"Mo08HH4680",4680,"F",5,NA,NA,NA,13,"UK","",NA,NA,"","",NA,4,2,4,20060420,2,20,4,2006,4,15,16,19,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,16
"Mo08HH4681",4681,"M",5,NA,NA,NA,12,"UK","",NA,NA,"","",NA,4,1,4,20060420,2,20,4,2006,4,15,11,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,15
"Mo08HH4682",4682,"F",5,NA,NA,NA,8,"UK","",NA,NA,"","",NA,1,1,1,20060422,2,22,4,2006,6,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",2,11
"Mo08HH4683",4683,"F",NA,NA,NA,NA,NA,"UK","",NA,NA,"","",NA,1,1,1,20060422,2,22,4,2006,6,14,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",3,14
"Mo08HH4684",4684,"M",5,NA,NA,NA,11,"UK","",NA,NA,"","",NA,1,1,1,20060422,2,22,4,2006,6,70,14,10,7,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",6,14
"Mo08HH4685",4685,"F",5,NA,NA,NA,12,"UK","",NA,NA,"","",NA,1,1,1,20060422,2,22,4,2006,6,2,15,7,42,9,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",7,15
"Mo08HH4686",4686,"F",5,NA,NA,NA,12,"UK","",NA,NA,"","",NA,1,1,1,20060422,2,22,4,2006,6,2,49,9,13,15,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",6,15
